Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
7293076	6213	63	28620	10956.5	785	21128
7293077	4252	39	25132	9113.5	222	18005
7293078	1189	45	24360	11300.5	196	22405
7293079	1161	7	28956	13672.5	58	27287
7293081	5583	68	32452	9867.5	483	19252
7293082	5234	32	24644	8713.5	590	16837
7293083	7575	154	22556	8155.5	1526	14785
7293084	20	0	29120	14560	0	29120
7293085	458	5	20410	10226	42	20410
7293086	92	0	6403	3201.5	0	6403
7293087	3194	36	24165	9598.5	505	18692
7293088	3562	78	23675	10328	445	20211
7293089	5561	95	23881	10577.5	1006	20149
7293090	5497	82	23923	9945	555	19335
7293091	28	0	26523	13261.5	0	26523
7293092	4336	58	23364	9913.5	352	19475
7293093	2313	13	22444	10438	89	20787
7293094	3919	61	25070	10472	240	20704
7293095	6559	69	16969	6953.5	332	13575
7293096	9231	276	23097	9405.5	1998	16813
7293097	14	0	13440	6518.5	0	13037
7293098	25	0	1670	835	0	1670
7293099	5774	71	31833	13538	832	26244
7293100	1481	20	20570	9722	224	19220
7293101	26	0	20689	10344.5	0	20689
7293102	343	11	25709	12860	11	25709
7293103	4986	52	29558	12661.5	341	24982
7293104	2105	20	27267	13158	127	26189
7293105	9565	339	20651	8221.5	2005	14438
