Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
07293198	2984	4	6669	2459	82	4625
07293199	3290	0	6748	2821	545	4769
07293200	3306	5	6676	2376	84	4489
07293201	3967	39	7961	2961.5	121	5606
07293202	2802	1	6685	2310	102	4649
07293203	2781	1	6392	2393.5	127	4558
07293204	3270.5	0	8630	2971.5	54	6044
07293205	3078	1	6953	2719	260	4871
07293206	3069	5	6847	2591	139	4898
07293207	2465	0	7117	2344	33	4925
07293208	1402.5	1	7136	1898	9	3494
07293209	2684	2	6403	2261.5	55	4343
07293210	3467.5	3	7685	3003	554	5383
07293211	3104.5	0	6647	2760	450	4854
07293212	3240.5	0	7154	2823.5	250	5298
07293213	3135	2	8994	2969	34	6193
07293214	2769.5	0	7990	2617.5	24	5641
07293215	3373	1	7010	3186.5	890	4952
07293216	4927	17	11110	4004	196	7872
07293217	2416.5	0	7935	2556.5	11	5633
07293218	2776.5	0	5747	2182	149	3881
07293219	2966	7	9670	3052	26	6392
07293220	478	0	857	416	41	593
07293221	3209	3	7470	2723	132	5645
07293222	2936	1	7849	2613	38	5550
07293223	2949	1	6803	2579.5	252	4631
07293224	3175	1	7221	2846	449	5051
07293225	2529	0	5787	2171.5	233	3973
07293226	2905	0	7136	2380	70	4640
07293227	2964	2	6870	2612	208	4667
07293228	2805.5	0	6121	2418	233	4369
07293229	3013	0	7972	2715	57	5483
07293230	3220	0	6999	2756.5	268	4898
07293231	3044	4	7183	2396	42	4581
07293232	2569	0	5512	2270	394	3684
07293233	2575	11	4902	1800.5	73	3300
07293234	1833	0	6712	2188	18	4351
07293235	2857	0	5634	2139	164	3760
07293236	1881.5	0	7964	1972	12	3380
07293237	2739	0	6507	2282.5	73	4577
07293238	3132	2	5975	2148	126	3761
07293239	2978.5	2	5214	2419	625	3247
07293240	2650	0	5399	1893.5	143	3225
07293241	3000	0	7153	2585	198	5057
07293242	2981	4	6108	2377	214	4031
07293243	2893	2	6509	2402.5	92	4562
07293244	2754	0	5810	2160	124	4102
07293245	2509	2	5595	2206	236	3846
07293246	2807.5	2	5196	2141	439	3253
07293247	2626	0	6384	2150.5	179	4401
